feature_set_name,hidden_sizes,dropout,lr,weight_decay,optimizer,scheduler,batch_size,activation,loss_name,use_batchnorm,seed,block,run_id
no_crime_no_safety_geo_density_only,"(128, 128)",0.35,0.0007,0.001,adam,cosine,64,gelu,smooth_l1,True,52,block1_no_crime_no_safety,491
no_crime_no_safety_all_remaining,"(128, 128, 64)",0.3,0.001,0.0001,adam,cosine,128,relu,smooth_l1,False,52,block1_no_crime_no_safety,492
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.3,0.0003,0.001,adam,cosine,256,relu,smooth_l1,False,42,block1_no_crime_no_safety,493
no_crime_no_safety_geo_macro_density,"(128, 128, 64)",0.2,0.001,0.001,adamw,cosine,64,gelu,smooth_l1,True,52,block1_no_crime_no_safety,494
no_crime_no_safety_geo_macro_only,"(128, 128)",0.3,0.0003,0.0005,adamw,plateau,64,gelu,smooth_l1,False,42,block1_no_crime_no_safety,495
no_crime_no_safety_geo_density_only,"(128, 128)",0.2,0.0005,0.002,adamw,plateau,256,relu,mse,False,52,block1_no_crime_no_safety,496
no_crime_no_safety_geo_density_only,"(512, 256)",0.1,0.0005,0.0005,adamw,cosine,64,gelu,smooth_l1,True,52,block1_no_crime_no_safety,497
no_crime_no_safety_geo_macro_density,"(256, 256)",0.35,0.0003,0.0001,adamw,cosine,64,relu,mse,True,52,block1_no_crime_no_safety,498
no_crime_no_safety_geo_macro_only,"(256, 256)",0.35,0.0005,0.0001,adam,plateau,64,relu,smooth_l1,True,52,block1_no_crime_no_safety,499
no_crime_no_safety_geo_macro_density,"(512, 256)",0.2,0.0003,0.0005,adamw,plateau,256,gelu,mse,False,52,block1_no_crime_no_safety,500
geo_knn_macro_plus_city_crime_only,"(128, 128, 64)",0.25,0.0005,0.0005,adamw,plateau,128,gelu,smooth_l1,True,42,block2_mixed_feature_sets,501
all_features,"(128, 128)",0.35,0.0003,0.0005,adam,plateau,256,relu,mse,False,62,block2_mixed_feature_sets,502
crime_only_subset,"(512, 256)",0.1,0.0003,0.002,adamw,cosine,128,relu,mse,False,62,block2_mixed_feature_sets,503
geo_knn_macro,"(256, 256)",0.25,0.0007,0.001,adam,cosine,256,relu,mse,True,62,block2_mixed_feature_sets,504
all_features,"(256, 256)",0.1,0.0005,0.002,adam,plateau,128,gelu,mse,True,62,block2_mixed_feature_sets,505
all_features,"(512, 256, 128)",0.35,0.001,0.0005,adam,plateau,128,gelu,mse,False,52,block2_mixed_feature_sets,506
geo_knn_macro,"(512, 256, 128)",0.25,0.0007,0.001,adam,cosine,128,relu,mse,True,42,block2_mixed_feature_sets,507
geo_knn_density_macro,"(128, 128, 64)",0.35,0.001,0.001,adamw,cosine,256,gelu,smooth_l1,True,62,block2_mixed_feature_sets,508
geo_knn_macro_plus_city_crime_only,"(512, 256, 128)",0.2,0.0005,0.002,adamw,plateau,256,gelu,smooth_l1,False,62,block2_mixed_feature_sets,509
geo_knn_macro,"(512, 256)",0.35,0.001,0.0005,adamw,cosine,256,relu,smooth_l1,False,42,block2_mixed_feature_sets,510
geo_knn_density_macro,"(256, 256, 128)",0.2,0.001,0.0005,adam,cosine,128,gelu,smooth_l1,False,42,block2_mixed_feature_sets,511
geo_knn_macro_plus_city_crime_only,"(512, 256)",0.25,0.001,0.002,adam,cosine,128,gelu,mse,True,52,block2_mixed_feature_sets,512
all_without_current_crime_only,"(128, 128)",0.2,0.0005,0.001,adam,cosine,128,relu,mse,False,62,block2_mixed_feature_sets,513
all_features,"(256, 256)",0.2,0.0005,0.0001,adamw,plateau,128,gelu,smooth_l1,False,52,block2_mixed_feature_sets,514
geo_knn_macro_plus_city_crime_only,"(128, 128, 64)",0.35,0.001,0.0005,adamw,plateau,256,relu,mse,True,42,block2_mixed_feature_sets,515
all_without_current_crime_only,"(128, 128, 64)",0.3,0.0005,0.0001,adam,cosine,64,gelu,smooth_l1,True,42,block2_mixed_feature_sets,516
all_features,"(256, 256)",0.25,0.0003,0.0001,adam,plateau,64,gelu,mse,True,62,block2_mixed_feature_sets,517
all_without_current_crime_only,"(256, 256, 128)",0.3,0.0003,0.002,adamw,cosine,128,relu,mse,True,52,block2_mixed_feature_sets,518
geo_knn_density_macro,"(256, 256)",0.3,0.0005,0.0001,adam,plateau,256,gelu,mse,True,42,block2_mixed_feature_sets,519
all_features,"(512, 256, 128)",0.35,0.0003,0.0001,adam,cosine,64,relu,smooth_l1,True,42,block2_mixed_feature_sets,520
geo_macro_plus_city_crime_only,"(512, 256)",0.25,0.001,0.001,adamw,cosine,128,gelu,smooth_l1,False,52,block2_mixed_feature_sets,521
geo_knn_macro,"(256, 256)",0.25,0.001,0.001,adam,cosine,64,gelu,smooth_l1,True,62,block2_mixed_feature_sets,522
all_features,"(256, 128, 64)",0.25,0.0007,0.0001,adam,plateau,128,gelu,smooth_l1,False,52,block2_mixed_feature_sets,523
geo_knn_density_macro,"(256, 256)",0.1,0.0003,0.002,adam,cosine,64,gelu,smooth_l1,True,52,block2_mixed_feature_sets,524
all_without_current_crime_only,"(256, 128, 64)",0.3,0.0005,0.001,adamw,cosine,64,relu,mse,True,52,block2_mixed_feature_sets,525
geo_knn_macro,"(512, 256)",0.2,0.0003,0.0005,adamw,cosine,256,relu,smooth_l1,False,52,block2_mixed_feature_sets,526
all_features,"(128, 128, 64)",0.25,0.0005,0.002,adam,cosine,256,relu,smooth_l1,False,42,block2_mixed_feature_sets,527
geo_knn_macro_plus_city_crime_only,"(256, 256)",0.3,0.0005,0.0005,adam,cosine,64,relu,mse,True,42,block2_mixed_feature_sets,528
geo_knn_macro_plus_city_crime_only,"(256, 128, 64)",0.25,0.001,0.0001,adamw,cosine,64,relu,mse,False,52,block2_mixed_feature_sets,529
geo_knn_macro_plus_city_crime_only,"(128, 128, 64)",0.3,0.001,0.002,adam,cosine,256,gelu,mse,False,62,block2_mixed_feature_sets,530
geo_macro_plus_city_crime_only,"(128, 128, 64)",0.3,0.001,0.0005,adam,plateau,256,gelu,smooth_l1,False,52,block2_mixed_feature_sets,531
geo_knn_macro_plus_city_crime_only,"(256, 256, 128)",0.25,0.0005,0.0005,adam,cosine,256,relu,mse,True,52,block2_mixed_feature_sets,532
geo_macro_plus_city_crime_only,"(256, 128, 64)",0.3,0.0003,0.002,adamw,plateau,128,gelu,smooth_l1,True,52,block2_mixed_feature_sets,533
all_without_current_crime_only,"(512, 256)",0.2,0.0003,0.0005,adamw,plateau,128,relu,smooth_l1,True,52,block2_mixed_feature_sets,534
geo_knn_macro_plus_city_crime_only,"(256, 128, 64)",0.2,0.001,0.002,adamw,plateau,256,relu,mse,False,52,block2_mixed_feature_sets,535
geo_knn_density_macro,"(512, 256)",0.3,0.001,0.0001,adam,plateau,64,relu,smooth_l1,False,42,block2_mixed_feature_sets,536
geo_knn_macro,"(256, 256, 128)",0.35,0.0007,0.001,adamw,plateau,64,gelu,mse,False,42,block2_mixed_feature_sets,537
all_features,"(512, 256)",0.2,0.001,0.0001,adamw,plateau,128,gelu,smooth_l1,True,62,block2_mixed_feature_sets,538
geo_macro_plus_city_crime_only,"(128, 128, 64)",0.25,0.0007,0.002,adamw,plateau,256,gelu,mse,False,62,block2_mixed_feature_sets,539
geo_knn_macro,"(128, 128, 64)",0.2,0.001,0.0001,adamw,plateau,256,relu,mse,True,42,block2_mixed_feature_sets,540
all_features,"(256, 256, 128)",0.2,0.0003,0.001,adamw,plateau,128,relu,smooth_l1,True,42,block2_mixed_feature_sets,541
geo_macro_plus_city_crime_only,"(128, 128, 64)",0.2,0.0003,0.0005,adam,cosine,64,gelu,mse,False,52,block2_mixed_feature_sets,542
geo_knn_macro_plus_city_crime_only,"(128, 128, 64)",0.2,0.0005,0.0005,adam,cosine,64,gelu,mse,True,52,block2_mixed_feature_sets,543
geo_knn_density_macro,"(512, 256, 128)",0.3,0.001,0.0005,adamw,cosine,128,gelu,smooth_l1,False,52,block2_mixed_feature_sets,544
all_without_current_crime_only,"(512, 256, 128)",0.3,0.0005,0.0001,adam,cosine,128,relu,smooth_l1,True,62,block2_mixed_feature_sets,545
crime_only_subset,"(256, 256)",0.25,0.0005,0.002,adam,plateau,256,gelu,smooth_l1,False,62,block2_mixed_feature_sets,546
geo_macro_plus_city_crime_only,"(256, 256, 128)",0.25,0.0003,0.001,adamw,plateau,64,relu,mse,True,42,block2_mixed_feature_sets,547
all_without_current_crime_only,"(128, 128)",0.3,0.0007,0.0005,adamw,plateau,128,relu,smooth_l1,False,62,block2_mixed_feature_sets,548
geo_knn_density_macro,"(128, 128)",0.2,0.0003,0.0005,adam,cosine,64,gelu,mse,True,62,block2_mixed_feature_sets,549
geo_macro_plus_city_crime_only,"(128, 128)",0.25,0.0005,0.002,adam,cosine,64,relu,smooth_l1,True,42,block2_mixed_feature_sets,550
geo_knn_macro,"(512, 256, 128)",0.25,0.0003,0.001,adamw,cosine,256,gelu,mse,True,52,block2_mixed_feature_sets,551
geo_knn_density_macro,"(256, 256)",0.25,0.0005,0.002,adamw,plateau,64,gelu,mse,False,52,block2_mixed_feature_sets,552
geo_knn_macro_plus_city_crime_only,"(256, 256)",0.1,0.001,0.0001,adam,plateau,128,relu,mse,True,52,block2_mixed_feature_sets,553
geo_macro_plus_city_crime_only,"(512, 256)",0.25,0.001,0.0005,adamw,plateau,256,gelu,smooth_l1,False,62,block2_mixed_feature_sets,554
geo_knn_macro,"(128, 128, 64)",0.25,0.0003,0.0001,adamw,cosine,256,gelu,smooth_l1,False,62,block2_mixed_feature_sets,555
geo_knn_macro,"(128, 128)",0.2,0.0003,0.0001,adam,plateau,128,gelu,smooth_l1,False,52,block2_mixed_feature_sets,556
geo_knn_density_macro,"(128, 128)",0.25,0.001,0.0005,adamw,cosine,128,relu,mse,False,62,block2_mixed_feature_sets,557
geo_knn_macro_plus_city_crime_only,"(256, 256, 128)",0.2,0.001,0.001,adamw,plateau,64,relu,smooth_l1,True,52,block2_mixed_feature_sets,558
geo_macro_plus_city_crime_only,"(256, 256)",0.25,0.001,0.0005,adamw,cosine,128,gelu,mse,True,62,block2_mixed_feature_sets,559
geo_knn_density_macro,"(128, 128, 64)",0.25,0.001,0.0005,adam,cosine,256,relu,mse,False,62,block2_mixed_feature_sets,560
geo_knn_density_macro,"(128, 128, 64)",0.3,0.0003,0.002,adamw,plateau,256,gelu,mse,True,42,block2_mixed_feature_sets,561
all_features,"(256, 128, 64)",0.25,0.0007,0.0005,adamw,cosine,64,gelu,mse,True,52,block2_mixed_feature_sets,562
all_without_current_crime_only,"(128, 128)",0.1,0.0005,0.0005,adamw,cosine,256,gelu,mse,False,62,block2_mixed_feature_sets,563
geo_knn_macro_plus_city_crime_only,"(128, 128)",0.1,0.0005,0.0001,adam,cosine,128,relu,smooth_l1,True,42,block2_mixed_feature_sets,564
geo_macro_plus_city_crime_only,"(128, 128)",0.1,0.0003,0.001,adam,plateau,128,gelu,mse,True,62,block2_mixed_feature_sets,565
geo_knn_macro_plus_city_crime_only,"(256, 256, 128)",0.25,0.001,0.0001,adamw,plateau,64,gelu,mse,True,52,block2_mixed_feature_sets,566
geo_knn_density_macro,"(512, 256, 128)",0.2,0.001,0.0001,adam,plateau,64,gelu,smooth_l1,False,62,block2_mixed_feature_sets,567
geo_knn_macro,"(256, 128, 64)",0.3,0.0007,0.0005,adam,plateau,128,relu,mse,False,62,block2_mixed_feature_sets,568
geo_macro_plus_city_crime_only,"(512, 256)",0.3,0.0007,0.001,adam,plateau,64,gelu,mse,True,62,block2_mixed_feature_sets,569
geo_macro_plus_city_crime_only,"(128, 128)",0.1,0.0005,0.001,adam,cosine,256,relu,smooth_l1,True,52,block2_mixed_feature_sets,570
all_features,"(512, 256, 128)",0.25,0.0005,0.002,adam,cosine,64,relu,smooth_l1,True,42,block2_mixed_feature_sets,571
geo_knn_macro_plus_city_crime_only,"(512, 256)",0.1,0.0003,0.002,adamw,cosine,256,relu,mse,True,42,block2_mixed_feature_sets,572
crime_only_subset,"(512, 256)",0.25,0.0007,0.001,adamw,plateau,128,gelu,mse,False,62,block2_mixed_feature_sets,573
geo_macro_plus_city_crime_only,"(256, 128, 64)",0.2,0.001,0.001,adamw,plateau,256,gelu,mse,False,62,block2_mixed_feature_sets,574
geo_knn_macro,"(256, 256, 128)",0.2,0.0003,0.002,adam,cosine,64,relu,mse,False,62,block2_mixed_feature_sets,575
geo_knn_macro,"(256, 256, 128)",0.25,0.001,0.0005,adam,plateau,64,gelu,smooth_l1,True,42,block2_mixed_feature_sets,576
geo_macro_plus_city_crime_only,"(256, 128, 64)",0.3,0.0005,0.001,adam,plateau,256,gelu,smooth_l1,False,52,block2_mixed_feature_sets,577
geo_knn_macro,"(128, 128, 64)",0.35,0.0007,0.0001,adamw,plateau,128,gelu,smooth_l1,False,42,block2_mixed_feature_sets,578
geo_knn_macro,"(128, 128)",0.25,0.0005,0.002,adam,cosine,256,relu,smooth_l1,True,42,block2_mixed_feature_sets,579
geo_knn_density_macro,"(256, 256, 128)",0.2,0.001,0.002,adamw,plateau,256,gelu,mse,True,62,block2_mixed_feature_sets,580
geo_knn_macro,"(512, 256, 128)",0.25,0.0007,0.0001,adamw,cosine,256,relu,mse,True,52,block2_mixed_feature_sets,581
geo_knn_macro,"(512, 256)",0.2,0.001,0.0005,adamw,plateau,128,relu,mse,False,42,block2_mixed_feature_sets,582
all_without_current_crime_only,"(128, 128)",0.35,0.0003,0.001,adam,plateau,64,gelu,mse,False,52,block2_mixed_feature_sets,583
geo_knn_macro_plus_city_crime_only,"(128, 128, 64)",0.2,0.0005,0.0005,adamw,plateau,128,relu,mse,False,52,block2_mixed_feature_sets,584
all_features,"(128, 128, 64)",0.25,0.0003,0.0005,adamw,cosine,128,relu,mse,True,42,block2_mixed_feature_sets,585
geo_knn_density_macro,"(512, 256)",0.25,0.0007,0.001,adam,plateau,256,relu,smooth_l1,False,42,block2_mixed_feature_sets,586
geo_knn_density_macro,"(512, 256)",0.3,0.0003,0.0001,adamw,cosine,256,relu,smooth_l1,True,62,block2_mixed_feature_sets,587
all_features,"(512, 256, 128)",0.25,0.0003,0.002,adam,cosine,256,relu,smooth_l1,True,52,block2_mixed_feature_sets,588
geo_knn_macro_plus_city_crime_only,"(256, 256, 128)",0.25,0.0005,0.002,adamw,plateau,128,gelu,smooth_l1,False,62,block2_mixed_feature_sets,589
all_features,"(128, 128, 64)",0.25,0.0007,0.001,adamw,plateau,64,relu,mse,False,62,block2_mixed_feature_sets,590
geo_knn_macro,"(256, 256, 128)",0.3,0.0007,0.001,adamw,cosine,256,gelu,smooth_l1,True,42,block2_mixed_feature_sets,591
geo_knn_macro_plus_city_crime_only,"(256, 256)",0.1,0.0007,0.0001,adam,cosine,64,gelu,mse,True,62,block2_mixed_feature_sets,592
all_features,"(256, 256)",0.1,0.0007,0.0005,adamw,plateau,256,gelu,mse,True,62,block2_mixed_feature_sets,593
all_without_current_crime_only,"(256, 128, 64)",0.2,0.0005,0.001,adam,plateau,128,gelu,mse,True,42,block2_mixed_feature_sets,594
geo_knn_macro_plus_city_crime_only,"(256, 128, 64)",0.25,0.001,0.0001,adam,plateau,256,relu,smooth_l1,True,52,block2_mixed_feature_sets,595
geo_macro_plus_city_crime_only,"(128, 128)",0.1,0.0007,0.001,adamw,plateau,64,gelu,smooth_l1,True,62,block2_mixed_feature_sets,596
geo_knn_density_macro,"(512, 256, 128)",0.2,0.0007,0.001,adam,cosine,128,gelu,smooth_l1,True,42,block2_mixed_feature_sets,597
geo_knn_macro_plus_city_crime_only,"(128, 128)",0.3,0.0003,0.0001,adam,cosine,256,relu,smooth_l1,True,42,block2_mixed_feature_sets,598
all_features,"(256, 256)",0.35,0.0007,0.0005,adam,cosine,256,relu,smooth_l1,False,52,block2_mixed_feature_sets,599
geo_knn_macro,"(256, 128, 64)",0.3,0.0007,0.002,adamw,cosine,256,relu,smooth_l1,False,52,block2_mixed_feature_sets,600
all_features,"(256, 128, 64)",0.2,0.0003,0.0001,adamw,plateau,256,gelu,mse,False,52,block2_mixed_feature_sets,601
geo_knn_macro_plus_city_crime_only,"(512, 256)",0.25,0.0007,0.0005,adamw,cosine,256,relu,mse,False,62,block2_mixed_feature_sets,602
crime_only_subset,"(512, 256)",0.25,0.001,0.0005,adam,plateau,64,relu,smooth_l1,False,42,block2_mixed_feature_sets,603
geo_macro_plus_city_crime_only,"(512, 256)",0.25,0.0003,0.002,adamw,plateau,128,relu,mse,False,42,block2_mixed_feature_sets,604
all_features,"(128, 128)",0.1,0.0007,0.0001,adamw,cosine,64,relu,smooth_l1,False,62,block2_mixed_feature_sets,605
all_without_current_crime_only,"(256, 256)",0.3,0.0007,0.002,adamw,plateau,256,relu,mse,True,52,block2_mixed_feature_sets,606
geo_knn_macro,"(512, 256, 128)",0.25,0.0003,0.002,adamw,plateau,64,gelu,smooth_l1,True,52,block2_mixed_feature_sets,607
geo_macro_plus_city_crime_only,"(128, 128, 64)",0.3,0.0003,0.0001,adam,cosine,256,relu,mse,True,52,block2_mixed_feature_sets,608
all_features,"(512, 256)",0.1,0.0003,0.001,adamw,plateau,128,gelu,smooth_l1,True,42,block2_mixed_feature_sets,609
geo_knn_macro_plus_city_crime_only,"(128, 128, 64)",0.3,0.0007,0.0001,adamw,cosine,256,gelu,mse,False,52,block2_mixed_feature_sets,610
geo_macro_plus_city_crime_only,"(256, 256, 128)",0.2,0.0005,0.0001,adam,plateau,64,relu,smooth_l1,False,52,block2_mixed_feature_sets,611
geo_knn_density_macro,"(128, 128)",0.3,0.001,0.002,adamw,plateau,64,gelu,mse,False,62,block2_mixed_feature_sets,612
geo_knn_macro,"(512, 256, 128)",0.3,0.0003,0.002,adamw,plateau,256,relu,mse,True,42,block2_mixed_feature_sets,613
geo_knn_macro,"(256, 256)",0.35,0.0007,0.001,adam,plateau,128,gelu,smooth_l1,False,52,block2_mixed_feature_sets,614
geo_knn_macro,"(256, 256, 128)",0.3,0.0007,0.002,adamw,cosine,256,relu,smooth_l1,False,42,block2_mixed_feature_sets,615
all_features,"(128, 128)",0.25,0.0007,0.0005,adamw,cosine,128,gelu,smooth_l1,True,52,block2_mixed_feature_sets,616
geo_knn_macro_plus_city_crime_only,"(128, 128, 64)",0.25,0.001,0.002,adam,plateau,64,gelu,smooth_l1,True,42,block2_mixed_feature_sets,617
geo_knn_macro_plus_city_crime_only,"(256, 128, 64)",0.2,0.0007,0.0005,adam,cosine,64,relu,smooth_l1,True,52,block2_mixed_feature_sets,618
all_without_current_crime_only,"(128, 128)",0.35,0.001,0.0001,adam,cosine,64,gelu,smooth_l1,True,42,block2_mixed_feature_sets,619
geo_macro_plus_city_crime_only,"(256, 256, 128)",0.3,0.0007,0.002,adamw,cosine,128,gelu,mse,False,52,block2_mixed_feature_sets,620
geo_knn_macro,"(256, 256, 128)",0.25,0.0005,0.001,adamw,cosine,128,relu,mse,False,62,block2_mixed_feature_sets,621
all_features,"(128, 128, 64)",0.35,0.0007,0.0005,adam,plateau,128,gelu,mse,True,42,block2_mixed_feature_sets,622
all_features,"(256, 128, 64)",0.3,0.0003,0.0001,adam,plateau,64,gelu,mse,True,52,block2_mixed_feature_sets,623
all_without_current_crime_only,"(128, 128, 64)",0.35,0.001,0.001,adamw,cosine,128,gelu,smooth_l1,False,62,block2_mixed_feature_sets,624
geo_knn_density_macro,"(512, 256)",0.2,0.001,0.0005,adamw,plateau,64,relu,mse,True,62,block2_mixed_feature_sets,625
geo_knn_macro,"(512, 256, 128)",0.25,0.0003,0.0001,adam,cosine,128,gelu,smooth_l1,False,52,block2_mixed_feature_sets,626
all_features,"(256, 256)",0.35,0.0007,0.0005,adamw,cosine,128,gelu,smooth_l1,True,42,block2_mixed_feature_sets,627
all_features,"(512, 256)",0.1,0.0007,0.002,adamw,plateau,128,gelu,smooth_l1,False,42,block2_mixed_feature_sets,628
geo_knn_density_macro,"(512, 256, 128)",0.25,0.0007,0.002,adamw,plateau,256,relu,smooth_l1,False,62,block2_mixed_feature_sets,629
all_features,"(256, 256, 128)",0.3,0.0003,0.0005,adamw,plateau,256,relu,smooth_l1,True,62,block2_mixed_feature_sets,630
geo_macro_plus_city_crime_only,"(256, 128, 64)",0.25,0.0007,0.0005,adamw,cosine,128,gelu,smooth_l1,False,62,block2_mixed_feature_sets,631
all_without_current_crime_only,"(256, 256, 128)",0.25,0.0003,0.0001,adam,cosine,64,gelu,smooth_l1,True,42,block2_mixed_feature_sets,632
geo_knn_macro_plus_city_crime_only,"(512, 256)",0.25,0.0003,0.002,adamw,cosine,128,gelu,mse,True,42,block2_mixed_feature_sets,633
all_without_current_crime_only,"(256, 256)",0.25,0.0003,0.0005,adam,plateau,64,gelu,smooth_l1,True,62,block2_mixed_feature_sets,634
all_features,"(512, 256)",0.35,0.0005,0.0005,adam,plateau,256,relu,mse,False,42,block2_mixed_feature_sets,635
all_features,"(512, 256, 128)",0.25,0.0005,0.0001,adam,cosine,128,relu,mse,True,62,block2_mixed_feature_sets,636
geo_knn_macro_plus_city_crime_only,"(512, 256)",0.2,0.0005,0.002,adam,cosine,64,relu,mse,True,62,block2_mixed_feature_sets,637
geo_macro_plus_city_crime_only,"(128, 128)",0.25,0.001,0.002,adamw,cosine,128,gelu,smooth_l1,False,42,block2_mixed_feature_sets,638
all_without_current_crime_only,"(512, 256)",0.25,0.001,0.001,adam,plateau,128,relu,mse,True,52,block2_mixed_feature_sets,639
geo_knn_macro,"(256, 256, 128)",0.2,0.0003,0.0005,adam,cosine,256,gelu,mse,True,52,block2_mixed_feature_sets,640
geo_knn_macro_plus_city_crime_only,"(512, 256)",0.35,0.001,0.0005,adam,plateau,128,relu,smooth_l1,True,52,block2_mixed_feature_sets,641
geo_knn_density_macro,"(512, 256, 128)",0.25,0.0005,0.0005,adamw,plateau,64,relu,smooth_l1,False,52,block2_mixed_feature_sets,642
geo_knn_density_macro,"(256, 128, 64)",0.2,0.0007,0.0005,adam,plateau,128,gelu,smooth_l1,False,42,block2_mixed_feature_sets,643
geo_macro_plus_city_crime_only,"(128, 128, 64)",0.25,0.0007,0.001,adam,cosine,128,relu,smooth_l1,False,62,block2_mixed_feature_sets,644
all_without_current_crime_only,"(256, 128, 64)",0.25,0.0003,0.0001,adamw,cosine,64,gelu,mse,True,62,block2_mixed_feature_sets,645
all_features,"(128, 128, 64)",0.2,0.0005,0.0005,adamw,plateau,64,gelu,mse,True,42,block2_mixed_feature_sets,646
geo_macro_plus_city_crime_only,"(256, 256)",0.1,0.0005,0.0001,adamw,cosine,256,relu,smooth_l1,False,62,block2_mixed_feature_sets,647
all_features,"(128, 128, 64)",0.2,0.0003,0.0005,adam,plateau,64,gelu,smooth_l1,False,62,block2_mixed_feature_sets,648
geo_knn_macro,"(256, 128, 64)",0.2,0.0007,0.0001,adamw,plateau,128,gelu,mse,False,52,block2_mixed_feature_sets,649
geo_knn_density_macro,"(128, 128)",0.3,0.0007,0.002,adam,cosine,64,relu,mse,True,42,block2_mixed_feature_sets,650
geo_knn_density_macro,"(512, 256, 128)",0.2,0.0005,0.002,adamw,cosine,128,relu,smooth_l1,True,62,block2_mixed_feature_sets,651
all_without_current_crime_only,"(512, 256)",0.2,0.0007,0.0001,adam,cosine,256,relu,smooth_l1,True,42,block2_mixed_feature_sets,652
geo_knn_macro,"(256, 256, 128)",0.35,0.001,0.001,adamw,plateau,128,relu,smooth_l1,False,62,block2_mixed_feature_sets,653
geo_knn_macro_plus_city_crime_only,"(256, 128, 64)",0.2,0.0007,0.0005,adamw,plateau,256,gelu,smooth_l1,False,42,block2_mixed_feature_sets,654
geo_knn_density_macro,"(256, 256)",0.35,0.0007,0.0001,adamw,cosine,64,relu,smooth_l1,False,52,block2_mixed_feature_sets,655
geo_knn_macro,"(512, 256, 128)",0.25,0.0007,0.0001,adamw,plateau,64,gelu,mse,True,42,block2_mixed_feature_sets,656
geo_knn_macro_plus_city_crime_only,"(256, 256)",0.2,0.0007,0.0001,adamw,cosine,64,gelu,mse,False,42,block2_mixed_feature_sets,657
geo_knn_density_macro,"(512, 256)",0.35,0.0005,0.0001,adam,cosine,256,gelu,mse,True,42,block2_mixed_feature_sets,658
geo_knn_density_macro,"(128, 128)",0.25,0.0007,0.001,adam,cosine,128,relu,smooth_l1,False,62,block2_mixed_feature_sets,659
geo_knn_macro_plus_city_crime_only,"(256, 256)",0.2,0.0005,0.0005,adam,plateau,128,relu,mse,True,62,block2_mixed_feature_sets,660
geo_macro_plus_city_crime_only,"(256, 128, 64)",0.35,0.0005,0.001,adamw,plateau,128,gelu,smooth_l1,False,42,block2_mixed_feature_sets,661
crime_only_subset,"(128, 128)",0.25,0.0005,0.0005,adam,plateau,128,gelu,mse,False,42,block2_mixed_feature_sets,662
geo_knn_density_macro,"(512, 256, 128)",0.25,0.0005,0.0001,adamw,cosine,128,gelu,mse,False,62,block2_mixed_feature_sets,663
geo_knn_macro_plus_city_crime_only,"(256, 256)",0.25,0.0003,0.0001,adamw,cosine,128,relu,mse,True,62,block2_mixed_feature_sets,664
geo_macro_plus_city_crime_only,"(512, 256, 128)",0.35,0.001,0.0005,adamw,plateau,128,gelu,smooth_l1,False,52,block2_mixed_feature_sets,665
geo_macro_plus_city_crime_only,"(256, 256)",0.1,0.0007,0.001,adam,plateau,128,relu,smooth_l1,False,62,block2_mixed_feature_sets,666
geo_knn_macro,"(512, 256)",0.3,0.0003,0.002,adamw,cosine,256,relu,smooth_l1,False,52,block2_mixed_feature_sets,667
geo_knn_density_macro,"(256, 128, 64)",0.35,0.0003,0.001,adam,plateau,64,gelu,mse,False,52,block2_mixed_feature_sets,668
all_features,"(256, 128, 64)",0.3,0.0005,0.001,adam,cosine,128,relu,mse,True,52,block2_mixed_feature_sets,669
geo_knn_macro_plus_city_crime_only,"(512, 256, 128)",0.25,0.001,0.001,adamw,plateau,128,gelu,smooth_l1,True,52,block2_mixed_feature_sets,670
geo_knn_macro,"(256, 256)",0.2,0.0007,0.001,adam,cosine,128,gelu,mse,False,52,block2_mixed_feature_sets,671
all_without_current_crime_only,"(512, 256)",0.1,0.0005,0.0001,adamw,plateau,256,relu,smooth_l1,False,42,block2_mixed_feature_sets,672
all_features,"(512, 256, 128)",0.3,0.001,0.0001,adamw,cosine,64,relu,smooth_l1,True,52,block2_mixed_feature_sets,673
all_features,"(128, 128)",0.1,0.0005,0.002,adam,cosine,128,relu,smooth_l1,False,52,block2_mixed_feature_sets,674
geo_macro_plus_city_crime_only,"(128, 128, 64)",0.25,0.0007,0.002,adam,cosine,256,gelu,smooth_l1,False,52,block2_mixed_feature_sets,675
all_features,"(256, 256)",0.35,0.0007,0.0005,adam,cosine,64,relu,mse,True,52,block2_mixed_feature_sets,676
all_without_current_crime_only,"(128, 128)",0.25,0.0005,0.001,adam,plateau,128,relu,smooth_l1,False,42,block2_mixed_feature_sets,677
geo_macro_plus_city_crime_only,"(256, 256)",0.1,0.0007,0.0001,adam,plateau,64,gelu,smooth_l1,False,52,block2_mixed_feature_sets,678
geo_knn_macro,"(128, 128, 64)",0.3,0.001,0.002,adamw,cosine,128,gelu,smooth_l1,False,62,block2_mixed_feature_sets,679
geo_macro_plus_city_crime_only,"(512, 256, 128)",0.2,0.0005,0.0001,adamw,cosine,128,relu,smooth_l1,False,62,block2_mixed_feature_sets,680
geo_knn_macro_plus_city_crime_only,"(512, 256)",0.25,0.001,0.002,adamw,plateau,128,relu,mse,True,52,block2_mixed_feature_sets,681
all_without_current_crime_only,"(256, 128, 64)",0.2,0.0003,0.0005,adam,plateau,128,gelu,smooth_l1,True,62,block2_mixed_feature_sets,682
geo_knn_macro_plus_city_crime_only,"(512, 256, 128)",0.35,0.0003,0.0005,adamw,plateau,64,gelu,mse,False,42,block2_mixed_feature_sets,683
