city,lat,lon,country,population,country_norm,city_norm
Tokyo,35.687,139.7495,Japan,37785000.0,japan,tokyo
Jakarta,-6.175,106.8275,Indonesia,33756000.0,indonesia,jakarta
Delhi,28.61,77.23,India,32226000.0,india,delhi
Guangzhou,23.13,113.26,China,26940000.0,china,guangzhou
Mumbai,19.0761,72.8775,India,24973000.0,india,mumbai
Manila,14.5958,120.9772,Philippines,24922000.0,philippines,manila
Shanghai,31.2286,121.4747,China,24073000.0,china,shanghai
São Paulo,-23.5504,-46.6339,Brazil,23086000.0,brazil,são paulo
Seoul,37.5667,126.9833,"Korea, South",23016000.0,"korea, south",seoul
Mexico City,19.4333,-99.1333,Mexico,21804000.0,mexico,mexico city
Kolkāta,22.5675,88.37,India,21747000.0,india,kolkāta
Cairo,30.0444,31.2358,Egypt,20296000.0,egypt,cairo
Karachi,24.86,67.01,Pakistan,20249000.0,pakistan,karachi
Dhaka,23.7289,90.3944,Bangladesh,19134000.0,bangladesh,dhaka
New York,40.6943,-73.9249,United States,18832416.0,united states,new york
Beijing,39.9067,116.3975,China,18522000.0,china,beijing
Bangkok,13.7525,100.4942,Thailand,18007000.0,thailand,bangkok
Shenzhen,22.5415,114.0596,China,17619000.0,china,shenzhen
Moscow,55.7506,37.6175,Russia,17332000.0,russia,moscow
Buenos Aires,-34.6036,-58.3814,Argentina,16710000.0,argentina,buenos aires
Lagos,6.455,3.3841,Nigeria,16637000.0,nigeria,lagos
Bangalore,12.9789,77.5917,India,15386000.0,india,bangalore
Ho Chi Minh City,10.7756,106.7019,Vietnam,15136000.0,vietnam,ho chi minh city
Ōsaka,34.6939,135.5022,Japan,15126000.0,japan,ōsaka
Chengdu,30.66,104.0633,China,14645000.0,china,chengdu
Istanbul,41.0136,28.955,Turkey,14441000.0,turkey,istanbul
Tehran,35.6889,51.3897,Iran,14148000.0,iran,tehran
Kinshasa,-4.3219,15.3119,Congo (Kinshasa),12836000.0,congo (kinshasa),kinshasa
Rio de Janeiro,-22.9111,-43.2056,Brazil,12592000.0,brazil,rio de janeiro
Chennai,13.0825,80.275,India,12395000.0,india,chennai
Xi’an,34.2611,108.9422,China,12328000.0,china,xi’an
Lahore,31.5497,74.3436,Pakistan,12306000.0,pakistan,lahore
Chongqing,29.5637,106.5504,China,12135000.0,china,chongqing
Los Angeles,34.1141,-118.4068,United States,11885717.0,united states,los angeles
London,51.5072,-0.1275,United Kingdom,11262000.0,united kingdom,london
Paris,48.8567,2.3522,France,11060000.0,france,paris
Linyi,35.1038,118.3564,China,10820000.0,china,linyi
Dongguan,23.021,113.752,China,10646000.0,china,dongguan
Baoding,38.874,115.464,China,10546831.0,china,baoding
Hyderābād,17.3617,78.4747,India,10494000.0,india,hyderābād
Tianjin,39.1336,117.2054,China,10368000.0,china,tianjin
Lima,-12.06,-77.0375,Peru,10320000.0,peru,lima
Wuhan,30.5934,114.3046,China,10251000.0,china,wuhan
Nanyang,32.9902,112.5285,China,9577771.0,china,nanyang
Hangzhou,30.267,120.153,China,9523000.0,china,hangzhou
Nagoya,35.1833,136.9,Japan,9197000.0,japan,nagoya
Luanda,-8.8383,13.2344,Angola,9051000.0,angola,luanda
Foshan,23.0214,113.1216,China,9042500.0,china,foshan
Kuala Lumpur,3.1686,101.698,Malaysia,8911000.0,malaysia,kuala lumpur
Zhoukou,33.6367,114.7014,China,8677800.0,china,zhoukou
Tongshan,34.261,117.1859,China,8669000.0,china,tongshan
Hanoi,21.0,105.85,Vietnam,8587100.0,vietnam,hanoi
Chicago,41.8375,-87.6866,United States,8489066.0,united states,chicago
Nanjing,32.0608,118.7789,China,8422000.0,china,nanjing
Heze,35.2343,115.4796,China,8287693.0,china,heze
Pune,18.5203,73.8567,India,8231000.0,india,pune
Jining,35.4151,116.5871,China,8081905.0,china,jining
Bogotá,4.7111,-74.0722,Colombia,8034649.0,colombia,bogotá
Ahmedabad,23.0225,72.5714,India,8009000.0,india,ahmedabad
Shenyang,41.8025,123.4281,China,7964000.0,china,shenyang
Dar es Salaam,-6.8161,39.2803,Tanzania,7962000.0,tanzania,dar es salaam
Khartoum,15.6031,32.5265,Sudan,7869000.0,sudan,khartoum
Johannesburg,-26.2044,28.0456,South Africa,7860781.0,south africa,johannesburg
Fuyang,32.89,115.814,China,7599913.0,china,fuyang
Hong Kong,22.3,114.2,Hong Kong,7450000.0,hong kong,hong kong
Ganzhou,25.831,114.933,China,7396873.0,china,ganzhou
Shangqiu,34.415,115.656,China,7325300.0,china,shangqiu
Cangzhou,38.3047,116.8387,China,7300783.0,china,cangzhou
Riyadh,24.65,46.71,Saudi Arabia,7237000.0,saudi arabia,riyadh
Santiago,-33.4372,-70.6506,Chile,7171000.0,chile,santiago
Zhumadian,33.014,114.022,China,7008427.0,china,zhumadian
Zhanjiang,21.2701,110.3575,China,6981236.0,china,zhanjiang
Rangoon,16.795,96.16,Burma,6874000.0,burma,rangoon
Yancheng,33.35,120.1569,China,6709629.0,china,yancheng
Bijie,27.284,105.292,China,6686100.0,china,bijie
Xingtai,37.0717,114.5048,China,6645766.0,china,xingtai
Hengyang,26.894,112.572,China,6645243.0,china,hengyang
Shaoyang,27.2395,111.4679,China,6563520.0,china,shaoyang
Surabaya,-7.2458,112.7378,Indonesia,6556000.0,indonesia,surabaya
Sūrat,21.205,72.84,India,6538000.0,india,sūrat
Quanzhou,24.8744,118.6757,China,6480000.0,china,quanzhou
Shangrao,28.4551,117.9431,China,6435300.0,china,shangrao
Zunyi,27.722,107.031,China,6270700.0,china,zunyi
Madrid,40.4169,-3.7033,Spain,6211000.0,spain,madrid
Baghdad,33.3153,44.3661,Iraq,6183000.0,iraq,baghdad
Maoming,21.6627,110.9255,China,6174050.0,china,maoming
Miami,25.784,-80.2101,United States,6113982.0,united states,miami
Xinyang,32.149,114.091,China,6109106.0,china,xinyang
Houston,29.786,-95.3885,United States,6046392.0,united states,houston
Singapore,1.3,103.8,Singapore,5983000.0,singapore,singapore
Prayagraj,25.4358,81.8464,India,5954391.0,india,prayagraj
Huanggang,30.4537,114.8724,China,5882719.0,china,huanggang
Dalian,38.9,121.6,China,5871474.0,china,dalian
Ankara,39.93,32.85,Turkey,5864049.0,turkey,ankara
Dallas,32.7935,-96.7667,United States,5843632.0,united states,dallas
Qingdao,36.0669,120.3827,China,5818255.0,china,qingdao
Yulin,22.654,110.181,China,5796766.0,china,yulin
Liaocheng,36.4559,115.9852,China,5789863.0,china,liaocheng
Douala,4.05,9.7,Cameroon,5768400.0,cameroon,douala
Qujing,25.491,103.796,China,5765775.0,china,qujing
Nangandao,35.3036,113.9268,China,5708191.0,china,nangandao
Addis Ababa,9.03,38.74,Ethiopia,5704000.0,ethiopia,addis ababa
Philadelphia,40.0077,-75.1339,United States,5696588.0,united states,philadelphia
Toronto,43.7417,-79.3733,Canada,5647656.0,canada,toronto
Zhengzhou,34.764,113.684,China,5621593.0,china,zhengzhou
Nanchong,30.8372,106.1106,China,5607565.0,china,nanchong
Jinan,36.6702,117.0207,China,5606374.0,china,jinan
Giza,29.987,31.2118,Egypt,5598402.0,egypt,giza
Saint Petersburg,59.9375,30.3086,Russia,5597763.0,russia,saint petersburg
Jieyang,23.551,116.3727,China,5577814.0,china,jieyang
Dezhou,37.436,116.359,China,5568235.0,china,dezhou
Nairobi,-1.2864,36.8172,Kenya,5545000.0,kenya,nairobi
Guadalajara,20.6767,-103.3475,Mexico,5525000.0,mexico,guadalajara
Tai’an,36.202,117.087,China,5472217.0,china,tai’an
Dazhou,31.2093,107.4678,China,5385422.0,china,dazhou
Belo Horizonte,-19.9281,-43.9419,Brazil,5328000.0,brazil,belo horizonte
Suzhou,33.648,116.964,China,5324476.0,china,suzhou
Monterrey,25.6844,-100.3181,Mexico,5324281.0,mexico,monterrey
Yongzhou,26.42,111.613,China,5289824.0,china,yongzhou
Changde,29.031,111.699,China,5279102.0,china,changde
Xiangyang,32.01,112.122,China,5260951.0,china,xiangyang
Atlanta,33.7628,-84.422,United States,5211164.0,united states,atlanta
Pudong,31.2347,121.5064,China,5187200.0,china,pudong
Washington,38.9047,-77.0163,United States,5146120.0,united states,washington
Zhaotong,27.338,103.717,China,5092611.0,china,zhaotong
Zhangzhou,24.513,117.647,China,5054328.0,china,zhangzhou
Yueyang,29.3647,113.1309,China,5051922.0,china,yueyang
Melbourne,-37.8142,144.9631,Australia,5031195.0,australia,melbourne
Yichun,27.816,114.417,China,5007702.0,china,yichun
Abidjan,5.3364,-4.0267,Côte d’Ivoire,4980000.0,côte d’ivoire,abidjan
Guilin,25.275,110.296,China,4931137.0,china,guilin
Pingdingshan,33.7666,113.1926,China,4904701.0,china,pingdingshan
Alexandria,31.1975,29.8925,Egypt,4870000.0,egypt,alexandria
Bozhou,33.8463,115.7786,China,4850657.0,china,bozhou
Sydney,-33.8667,151.2,Australia,4840600.0,australia,sydney
Barcelona,41.3833,2.1833,Spain,4800000.0,spain,barcelona
Yuncheng,35.0267,111.007,China,4774508.0,china,yuncheng
Cape Town,-33.9253,18.4239,South Africa,4770313.0,south africa,cape town
Changsha,28.228,112.939,China,4766296.0,china,changsha
Suqian,33.963,118.275,China,4719178.0,china,suqian
Jeddah,21.5428,39.1728,Saudi Arabia,4697000.0,saudi arabia,jeddah
Weinan,34.5206,109.471,China,4688744.0,china,weinan
Berlin,52.52,13.405,Germany,4679500.0,germany,berlin
Chenzhou,25.77,113.016,China,4667134.0,china,chenzhou
Jiangmen,22.5789,113.0815,China,4630300.0,china,jiangmen
Mianyang,31.468,104.679,China,4613862.0,china,mianyang
Jiujiang,29.661,115.954,China,4600276.0,china,jiujiang
Huaihua,27.5698,110.0016,China,4587594.0,china,huaihua
Huanglongsi,34.795,114.345,China,4564900.0,china,huanglongsi
Taizhou,32.4567,119.9229,China,4512762.0,china,taizhou
Belāhi,26.4,86.25,India,4487379.0,india,belāhi
Yibin,28.752,104.643,China,4471896.0,china,yibin
Ji’an,27.0912,114.9668,China,4469176.0,china,ji’an
Yangzhou,32.3944,119.4128,China,4459760.0,china,yangzhou
Kunming,25.0464,102.7094,China,4422686.0,china,kunming
Changchun,43.897,125.326,China,4408154.0,china,changchun
Lu’an,31.736,116.52,China,4393699.0,china,lu’an
Xinpu,34.5966,119.2214,China,4393482.0,china,xinpu
Langfang,39.5383,116.6835,China,4358839.0,china,langfang
Boston,42.3188,-71.0852,United States,4355184.0,united states,boston
Ürümqi,43.8225,87.6125,China,4335017.0,china,ürümqi
Suzhou,31.3,120.6194,China,4330000.0,china,suzhou
Guigang,23.112,109.599,China,4316262.0,china,guigang
Shantou,23.354,116.682,China,4312192.0,china,shantou
Jiangguanchi,34.037,113.852,China,4307488.0,china,jiangguanchi
Kabul,34.5253,69.1783,Afghanistan,4273156.0,afghanistan,kabul
Xiaoganzhan,30.918,113.957,China,4270371.0,china,xiaoganzhan
Bamako,12.6458,-7.9922,Mali,4227569.0,mali,bamako
Kano,12.0,8.5167,Nigeria,4224966.0,nigeria,kano
Luzhou,28.871,105.442,China,4218427.0,china,luzhou
Hefei,31.8206,117.2273,China,4216940.0,china,hefei
Hengshui,37.739,115.669,China,4212933.0,china,hengshui
Fortaleza,-3.7275,-38.5275,Brazil,4167996.0,brazil,fortaleza
Anqing,30.5318,117.1153,China,4165284.0,china,anqing
Zhangjiakou,40.769,114.886,China,4118908.0,china,zhangjiakou
Zhaoqing,23.05,112.4667,China,4113594.0,china,zhaoqing
Shijiazhuang,38.0425,114.51,China,4098243.0,china,shijiazhuang
Ningbo,29.8603,121.6245,China,4087523.0,china,ningbo
Qiqihar,47.3549,123.9182,China,4067489.0,china,qiqihar
Phoenix,33.5722,-112.0892,United States,4065338.0,united states,phoenix
Liuzhou,24.3278,109.4278,China,4041700.0,china,liuzhou
Chifeng,42.255,118.8825,China,4035967.0,china,chifeng
Xiaoxita,30.692,111.287,China,4017607.0,china,xiaoxita
Amman,31.9497,35.9328,Jordan,4007526.0,jordan,amman
Linfen,36.088,111.519,China,3976481.0,china,linfen
Xianyang,34.3299,108.7088,China,3959842.0,china,xianyang
Chuzhou,32.256,118.333,China,3937868.0,china,chuzhou
Kumasi,6.7,-1.625,Ghana,3903480.0,ghana,kumasi
Zhuzhou,27.829,113.133,China,3902738.0,china,zhuzhou
Taiyuan,37.8704,112.5497,China,3875053.0,china,taiyuan
Qingyuan,23.682,113.056,China,3874000.0,china,qingyuan
Meizhou,24.289,116.122,China,3873239.0,china,meizhou
Yiyang,28.5549,112.356,China,3851564.0,china,yiyang
Nanning,22.8167,108.3275,China,3837978.0,china,nanning
Harbin,45.7576,126.6409,China,3830000.0,china,harbin
Loudi,27.6998,111.9944,China,3826996.0,china,loudi
Abuja,9.0667,7.4833,Nigeria,3770000.0,nigeria,abuja
Yokohama,35.4442,139.6381,Japan,3757630.0,japan,yokohama
Suihua,46.654,126.969,China,3756167.0,china,suihua
Binzhou,37.383,117.971,China,3748474.0,china,binzhou
Zaozhuang,34.8109,117.3238,China,3729140.0,china,zaozhuang
Detroit,42.3834,-83.1024,United States,3716929.0,united states,detroit
Xiamen,24.4796,118.0889,China,3707090.0,china,xiamen
Mashhad,36.3264,59.5433,Iran,3700000.0,iran,mashhad
Montréal,45.5089,-73.5617,Canada,3675219.0,canada,montréal
Fuzhou,26.0743,119.2964,China,3671192.0,china,fuzhou
Wuhu,31.3526,118.4331,China,3644420.0,china,wuhu
Medan,3.5894,98.6739,Indonesia,3632000.0,indonesia,medan
Yulinshi,38.2858,109.7341,China,3624750.0,china,yulinshi
Fuzhou,27.949,116.358,China,3614866.0,china,fuzhou
Wenzhou,27.9938,120.6993,China,3604446.0,china,wenzhou
Changzhou,31.811,119.974,China,3601079.0,china,changzhou
Puyang,35.7627,115.0292,China,3598740.0,china,puyang
Nanchang,28.683,115.858,China,3576547.0,china,nanchang
Baicheng,23.903,106.619,China,3571505.0,china,baicheng
Seattle,47.6211,-122.3244,United States,3555253.0,united states,seattle
Ibadan,7.3964,3.9167,Nigeria,3552000.0,nigeria,ibadan
Jiaozuo,35.2157,113.2419,China,3521078.0,china,jiaozuo
Nādampālaiyam,11.0125,76.9714,India,3458045.0,india,nādampālaiyam
Deyang,31.127,104.398,China,3456161.0,china,deyang
Busan,35.18,129.075,"Korea, South",3453198.0,"korea, south",busan
Hechi,24.693,108.085,China,3417945.0,china,hechi
Tangshan,39.6294,118.1739,China,3399231.0,china,tangshan
Lucknow,26.85,80.95,India,3382000.0,india,lucknow
San Francisco,37.7558,-122.4449,United States,3364862.0,united states,san francisco
Boankra,6.6919,-1.4051,Ghana,3348000.0,ghana,boankra
Dubai,25.2631,55.2972,United Arab Emirates,3331420.0,united arab emirates,dubai
Anshan,41.108,122.994,China,3325372.0,china,anshan
Guozhen,34.3609,107.1751,China,3321853.0,china,guozhen
Baojishi,34.363,107.238,China,3321853.0,china,baojishi
Qinzhou,21.981,108.654,China,3302238.0,china,qinzhou
Guiyang,26.647,106.63,China,3299724.0,china,guiyang
Wuxi,31.5667,120.2833,China,3245179.0,china,wuxi
Kannankulam,10.52,76.21,India,3243170.0,india,kannankulam
Caracas,10.4806,-66.9036,Venezuela,3242000.0,venezuela,caracas
Kotla Qasim Khan,32.5833,73.75,Pakistan,3219375.0,pakistan,kotla qasim khan
Casablanca,33.5333,-7.5833,Morocco,3215935.0,morocco,casablanca
Hanzhong,33.0664,107.0232,China,3211462.0,china,hanzhong
Shiyan,32.629,110.7987,China,3209004.0,china,shiyan
Guang’an,30.4564,106.6326,China,3205476.0,china,guang’an
Faisalabad,31.4167,73.0911,Pakistan,3203846.0,pakistan,faisalabad
Changzhi,36.195,113.117,China,3180884.0,china,changzhi
Tongren,27.7316,109.1895,China,3168800.0,china,tongren
Bengbu,32.917,117.389,China,3164467.0,china,bengbu
Leshan,29.552,103.766,China,3160168.0,china,leshan
Santa Cruz de la Sierra,-17.7892,-63.1975,Bolivia,3151676.0,bolivia,santa cruz de la sierra
Neijiang,29.5802,105.058,China,3140678.0,china,neijiang
Zhenjiang,32.188,119.424,China,3113384.0,china,zhenjiang
Qinhuangdao,39.8882,119.5202,China,3107400.0,china,qinhuangdao
Bursa,40.1833,29.05,Turkey,3101833.0,turkey,bursa
Tashkent,41.3111,69.2797,Uzbekistan,3095498.0,uzbekistan,tashkent
Guayaquil,-2.19,-79.8875,Ecuador,3094420.0,ecuador,guayaquil
Jaipur,26.9,75.8,India,3073350.0,india,jaipur
Lanzhou,36.0606,103.8268,China,3067141.0,china,lanzhou
Ouagadougou,12.3686,-1.5275,Burkina Faso,3063271.0,burkina faso,ouagadougou
Athens,37.9842,23.7281,Greece,3059764.0,greece,athens
San Diego,32.8313,-117.1222,United States,3057778.0,united states,san diego
Guatemala City,14.6417,-90.5133,Guatemala,3014000.0,guatemala,guatemala city
Kuwait City,29.3697,47.9783,Kuwait,2989000.0,kuwait,kuwait city
Qincheng,34.5815,105.7248,China,2984659.0,china,qincheng
İzmir,38.42,27.14,Turkey,2965900.0,turkey,i̇zmir
Quezon City,14.65,121.0475,Philippines,2960048.0,philippines,quezon city
Kyiv,50.45,30.5233,Ukraine,2952301.0,ukraine,kyiv
Kottārasshēri,10.775,76.651,India,2952254.0,india,kottārasshēri
Meishan,30.0771,103.8484,China,2950545.0,china,meishan
Incheon,37.4833,126.6333,"Korea, South",2936117.0,"korea, south",incheon
Ningde,26.6662,119.5477,China,2910000.0,china,ningde
Zhongshan,22.517,113.3925,China,2909633.0,china,zhongshan
Minneapolis,44.9635,-93.2678,United States,2906807.0,united states,minneapolis
Tampa,27.9945,-82.4447,United States,2906035.0,united states,tampa
Putian,25.4526,119.0078,China,2900000.0,china,putian
Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa),2892000.0,congo (kinshasa),mbuji-mayi
Tongliao,43.654,122.243,China,2873168.0,china,tongliao
Chaoyang,41.571,120.453,China,2872857.0,china,chaoyang
Hohhot,40.842,111.749,China,2866615.0,china,hohhot
Pyongyang,39.0167,125.7475,"Korea, North",2863000.0,"korea, north",pyongyang
Shaoguan,24.811,113.597,China,2855131.0,china,shaoguan
Taichung,24.1439,120.6794,Taiwan,2850285.0,taiwan,taichung
Cali,3.4206,-76.5222,Colombia,2838333.0,colombia,cali
Heyuan,23.7443,114.7002,China,2837686.0,china,heyuan
Wuzhou,23.4767,111.279,China,2820977.0,china,wuzhou
Pretoria,-25.7461,28.1881,South Africa,2818100.0,south africa,pretoria
Suining,30.533,105.593,China,2814196.0,china,suining
Omdurman,15.6835,32.4629,Sudan,2805396.0,sudan,omdurman
Weihai,37.5133,122.1205,China,2804771.0,china,weihai
Rizhao,35.417,119.527,China,2801013.0,china,rizhao
Malang,-7.98,112.62,Indonesia,2795209.0,indonesia,malang
Stuttgart,48.7775,9.18,Germany,2787724.0,germany,stuttgart
Daqing,46.589,125.104,China,2781562.0,china,daqing
Rome,41.8931,12.4828,Italy,2748109.0,italy,rome
Kaohsiung,22.615,120.2975,Taiwan,2737660.0,taiwan,kaohsiung
Brooklyn,40.6501,-73.9496,United States,2736074.0,united states,brooklyn
Xiangtan,27.8313,112.9454,China,2726181.0,china,xiangtan
Bazhou,31.868,106.748,China,2712894.0,china,bazhou
Handan,36.601,114.487,China,2708015.0,china,handan
Brisbane,-27.4678,153.0281,Australia,2706966.0,australia,brisbane
Jinzhou,41.129,121.148,China,2703853.0,china,jinzhou
Denver,39.762,-104.8758,United States,2691349.0,united states,denver
Xinzhou,38.416,112.734,China,2689668.0,china,xinzhou
Nanping,26.6418,118.1774,China,2680645.0,china,nanping
Gāzipura,23.9234,90.3959,Bangladesh,2674697.0,bangladesh,gāzipura
Shanwei,22.7872,115.3756,China,2672819.0,china,shanwei
Maracaibo,10.6333,-71.6333,Venezuela,2658355.0,venezuela,maracaibo
Chaozhou,23.658,116.622,China,2656600.0,china,chaozhou
Baotou,40.6213,109.9532,China,2650364.0,china,baotou
Longyan,25.076,117.017,China,2640000.0,china,longyan
Weifang,36.708,119.162,China,2636154.0,china,weifang
Huai’an,33.551,119.113,China,2632788.0,china,huai’an
Zibo,36.8138,118.055,China,2631647.0,china,zibo
Attadappa,11.8689,75.3555,India,2615266.0,india,attadappa
Munich,48.1375,11.575,Germany,2606021.0,germany,munich
Gulou,26.0865,119.298,China,2606000.0,china,gulou
Birmingham,52.48,-1.9025,United Kingdom,2590363.0,united kingdom,birmingham
Valencia,10.1833,-68.0,Venezuela,2585202.0,venezuela,valencia
Damascus,33.502,36.2981,Syria,2584771.0,syria,damascus
Chattogram,22.335,91.8325,Bangladesh,2581643.0,bangladesh,chattogram
Brazzaville,-4.2667,15.2667,Congo (Brazzaville),2557100.0,congo (brazzaville),brazzaville
Yangjiang,21.857,111.983,China,2555600.0,china,yangjiang
Sanaa,15.3483,44.2064,Yemen,2545000.0,yemen,sanaa
Barmhān Kalān,19.1972,72.9722,India,2537000.0,india,barmhān kalān
Medellín,6.2308,-75.5906,Colombia,2529403.0,colombia,medellín
Dingxi,35.608,104.592,China,2524097.0,china,dingxi
Shaoxing,30.0511,120.5833,China,2521964.0,china,shaoxing
Yantai,37.4646,121.4478,China,2511053.0,china,yantai
Huizhou,23.112,114.416,China,2509243.0,china,huizhou
Xuanzhou,30.939,118.759,China,2500063.0,china,xuanzhou
Mirzāpur,25.146,82.569,India,2496970.0,india,mirzāpur
Hamburg,53.55,10.0,Germany,2496600.0,germany,hamburg
Taipei,25.0375,121.5625,Taiwan,2494813.0,taiwan,taipei
Ankang,32.6854,109.029,China,2493436.0,china,ankang
Zigong,29.339,104.779,China,2489256.0,china,zigong
Sanming,26.2634,117.6389,China,2486450.0,china,sanming
Toluca,19.2925,-99.6569,Mexico,2476689.0,mexico,toluca
Huangshi,30.2011,115.039,China,2469079.0,china,huangshi
Yaoundé,3.8667,11.5167,Cameroon,2440462.0,cameroon,yaoundé
Zhuhai,22.2742,113.5719,China,2439585.0,china,zhuhai
Huludao,40.711,120.837,China,2434194.0,china,huludao
Baoshan,25.112,99.161,China,2431211.0,china,baoshan
Mecca,21.4225,39.8261,Saudi Arabia,2427924.0,saudi arabia,mecca
Vancouver,49.25,-123.1,Canada,2426160.0,canada,vancouver
Lianshan,40.7523,120.828,China,2426000.0,china,lianshan
Beirut,33.8981,35.5058,Lebanon,2421354.0,lebanon,beirut
Salvador,-12.9831,-38.4928,Brazil,2417678.0,brazil,salvador
Bucharest,44.4325,26.1039,Romania,2412530.0,romania,bucharest
Longba,33.3702,104.9603,China,2407272.0,china,longba
Nāgpur,21.1497,79.0806,India,2405665.0,india,nāgpur
Queens,40.7498,-73.7976,United States,2405464.0,united states,queens
Tieling,42.2237,123.726,China,2388294.0,china,tieling
Yunfu,22.9152,112.0445,China,2383350.0,china,yunfu
Bekasi,-6.2333,107.0,Indonesia,2381053.0,indonesia,bekasi
Daegu,35.8717,128.6017,"Korea, South",2376044.0,"korea, south",daegu
Ghāziābād,28.67,77.42,India,2375820.0,india,ghāziābād
Luoyang,34.6197,112.4539,China,2372571.0,china,luoyang
Luohe,33.5804,114.0166,China,2367490.0,china,luohe
Algiers,36.7325,3.0872,Algeria,2364230.0,algeria,algiers
Anshun,26.2531,105.9476,China,2353100.0,china,anshun
Huainan,32.6314,117.0194,China,2333896.0,china,huainan
Depok,-6.394,106.8225,Indonesia,2330333.0,indonesia,depok
Konya,37.8667,32.4833,Turkey,2320241.0,turkey,konya
Haiphong,20.8651,106.6838,Vietnam,2310280.0,vietnam,haiphong
Yanjiang,30.129,104.627,China,2308631.0,china,yanjiang
Guangyuan,32.436,105.844,China,2305657.0,china,guangyuan
Baku,40.3667,49.8352,Azerbaijan,2300500.0,azerbaijan,baku
Yingkou,40.625,122.219,China,2296540.0,china,yingkou
Mudanjiang,44.5514,129.6329,China,2290208.0,china,mudanjiang
Riverside,33.9381,-117.3949,United States,2288508.0,united states,riverside
Fukuoka,33.59,130.4017,Japan,2286000.0,japan,fukuoka
Nantong,31.981,120.894,China,2261382.0,china,nantong
Lincang,23.884,100.089,China,2257991.0,china,lincang
Las Vegas,36.2333,-115.2654,United States,2256509.0,united states,las vegas
Haikou,20.0186,110.3488,China,2250000.0,china,haikou
Yuxi,24.347,102.527,China,2249502.0,china,yuxi
Tangerang,-6.1703,106.6403,Indonesia,2237006.0,indonesia,tangerang
Supaul,26.126,86.605,India,2229076.0,india,supaul
Almaty,43.24,76.915,Kazakhstan,2228675.0,kazakhstan,almaty
Vienna,48.2083,16.3725,Austria,2223236.0,austria,vienna
Eşfahān,32.6653,51.6703,Iran,2219343.0,iran,eşfahān
Xining,36.6224,101.7804,China,2208708.0,china,xining
Jincheng,35.491,112.852,China,2194545.0,china,jincheng
Baltimore,39.3051,-76.6144,United States,2189589.0,united states,baltimore
Dandong,40.1167,124.3833,China,2188436.0,china,dandong
Yan’an,36.65,109.494,China,2187009.0,china,yan’an
Qinbaling,35.7091,107.6436,China,2179716.0,china,qinbaling
Gaoping,30.7824,106.1281,China,2174000.0,china,gaoping
Awka,6.2069,7.0678,Nigeria,2171900.0,nigeria,awka
Taizhou,28.6557,121.4208,China,2162461.0,china,taizhou
Ma’anshan,31.669,118.507,China,2159930.0,china,ma’anshan
Jiamusi,46.8,130.319,China,2156505.0,china,jiamusi
Perth,-31.9558,115.8597,Australia,2141834.0,australia,perth
Gaziantep,37.0628,37.3792,Turkey,2130432.0,turkey,gaziantep
Phnom Penh,11.5696,104.921,Cambodia,2129371.0,cambodia,phnom penh
St. Louis,38.6359,-90.2451,United States,2127843.0,united states,st. louis
Mogadishu,2.0392,45.3419,Somalia,2120000.0,somalia,mogadishu
Lishui,28.468,119.923,China,2116957.0,china,lishui
Kowloon,22.3167,114.1833,Hong Kong,2108419.0,hong kong,kowloon
Córdoba,-31.4167,-64.1833,Argentina,2106734.0,argentina,córdoba
Zamboanga City,6.9042,122.0761,Philippines,2100000.0,philippines,zamboanga city
Rawalpindi,33.6,73.0333,Pakistan,2098231.0,pakistan,rawalpindi
Havana,23.1367,-82.3589,Cuba,2089532.0,cuba,havana
Chongzuo,22.377,107.365,China,2088692.0,china,chongzuo
Portland,45.5371,-122.65,United States,2084045.0,united states,portland
Laibin,23.7501,109.2212,China,2074611.0,china,laibin
San Antonio,29.4632,-98.5238,United States,2069843.0,united states,san antonio
Vadodara,22.3,73.2,India,2065771.0,india,vadodara
Qingyang,24.7816,118.5517,China,2061600.0,china,qingyang
Rājkot,22.3,70.7833,India,2043000.0,india,rājkot
Shangzhou,33.8734,109.9186,China,2041231.0,china,shangzhou
Vishākhapatnam,17.7042,83.2978,India,2035922.0,india,vishākhapatnam
Shengli,37.434,118.6746,China,2035338.0,china,shengli
Sanmenxia,34.7732,111.2004,China,2034872.0,china,sanmenxia
Warsaw,52.23,21.0111,Poland,2028000.0,poland,warsaw
Gujranwala,32.1567,74.19,Pakistan,2027001.0,pakistan,gujranwala
Hezhou,24.4042,111.5672,China,2007858.0,china,hezhou
Aleppo,36.2319,37.1681,Syria,2003671.0,syria,aleppo
Tijuana,32.525,-117.0333,Mexico,2002000.0,mexico,tijuana
Puning,23.298,116.166,China,1998619.0,china,puning
Indore,22.7167,75.8472,India,1994397.0,india,indore
Minsk,53.9006,27.5586,Belarus,1992862.0,belarus,minsk
Karaj,35.8292,50.9675,Iran,1973470.0,iran,karaj
Kananga,-5.897,22.4488,Congo (Kinshasa),1971704.0,congo (kinshasa),kananga
Huaibei,33.956,116.798,China,1970265.0,china,huaibei
Peshawar,34.0144,71.5675,Pakistan,1970042.0,pakistan,peshawar
Sacramento,38.5677,-121.4685,United States,1962998.0,united states,sacramento
Sapporo,43.0619,141.3544,Japan,1959313.0,japan,sapporo
Tilburg,51.5572,5.0911,Netherlands,1944588.0,netherlands,tilburg
Austin,30.3005,-97.7522,United States,1915031.0,united states,austin
Orlando,28.4773,-81.337,United States,1913597.0,united states,orlando
